# source: papers/2026-06-emission-gap/emission_gap_paper.tex; generated by: code/2026-06-emission-gap/mahler_gap.py
b,c,mahler_measure,in_open_gap_1_phi
2,-1,2.414213562373095,False
2,0,2.000000000000000,False
2,1,1.000000000000000,False
2,2,2.000000000000000,False
2,3,3.000000000000000,False
2,4,4.000000000000000,False
2,5,5.000000000000000,False
2,6,6.000000000000000,False
2,7,7.000000000000000,False
2,8,8.000000000000000,False
2,9,9.000000000000000,False
2,10,10.00000000000000,False
2,11,11.00000000000000,False
2,12,12.00000000000000,False
3,-12,12.00000000000000,False
3,-11,11.00000000000000,False
3,-10,10.00000000000000,False
3,-9,9.000000000000000,False
3,-8,8.000000000000000,False
3,-7,7.000000000000000,False
3,-6,6.000000000000000,False
3,-5,5.000000000000000,False
3,-4,4.000000000000000,False
3,-3,3.791287847477920,False
3,-2,3.561552812808830,False
3,-1,3.302775637731995,False
3,0,3.000000000000000,False
3,1,2.618033988749895,False
3,2,2.000000000000000,False
3,3,3.000000000000000,False
3,4,4.000000000000000,False
3,5,5.000000000000000,False
3,6,6.000000000000000,False
3,7,7.000000000000000,False
3,8,8.000000000000000,False
3,9,9.000000000000000,False
3,10,10.00000000000000,False
3,11,11.00000000000000,False
3,12,12.00000000000000,False
4,-12,12.00000000000000,False
4,-11,11.00000000000000,False
4,-10,10.00000000000000,False
4,-9,9.000000000000000,False
4,-8,8.000000000000000,False
4,-7,7.000000000000000,False
4,-6,6.000000000000000,False
4,-5,5.000000000000000,False
4,-4,4.828427124746190,False
4,-3,4.645751311064591,False
4,-2,4.449489742783178,False
4,-1,4.236067977499790,False
4,0,4.000000000000000,False
4,1,3.732050807568877,False
4,2,3.414213562373095,False
4,3,3.000000000000000,False
4,4,4.000000000000000,False
4,5,5.000000000000000,False
4,6,6.000000000000000,False
4,7,7.000000000000000,False
4,8,8.000000000000000,False
4,9,9.000000000000000,False
4,10,10.00000000000000,False
4,11,11.00000000000000,False
4,12,12.00000000000000,False
5,-12,12.00000000000000,False
5,-11,11.00000000000000,False
5,-10,10.00000000000000,False
5,-9,9.000000000000000,False
5,-8,8.000000000000000,False
5,-7,7.000000000000000,False
5,-6,6.000000000000000,False
5,-5,5.854101966249685,False
5,-4,5.701562118716424,False
5,-3,5.541381265149110,False
5,-2,5.372281323269014,False
5,-1,5.192582403567252,False
5,0,5.000000000000000,False
5,1,4.791287847477920,False
5,2,4.561552812808830,False
5,3,4.302775637731995,False
5,4,4.000000000000000,False
5,5,5.000000000000000,False
5,6,6.000000000000000,False
5,7,7.000000000000000,False
5,8,8.000000000000000,False
5,9,9.000000000000000,False
5,10,10.00000000000000,False
5,11,11.00000000000000,False
5,12,12.00000000000000,False
6,-12,12.00000000000000,False
6,-11,11.00000000000000,False
6,-10,10.00000000000000,False
6,-9,9.000000000000000,False
6,-8,8.000000000000000,False
6,-7,7.000000000000000,False
6,-6,6.872983346207417,False
6,-5,6.741657386773941,False
6,-4,6.605551275463989,False
6,-3,6.464101615137755,False
6,-2,6.316624790355400,False
6,-1,6.162277660168379,False
6,0,6.000000000000000,False
6,1,5.828427124746190,False
6,2,5.645751311064591,False
6,3,5.449489742783178,False
6,4,5.236067977499790,False
6,5,5.000000000000000,False
6,6,6.000000000000000,False
6,7,7.000000000000000,False
6,8,8.000000000000000,False
6,9,9.000000000000000,False
6,10,10.00000000000000,False
6,11,11.00000000000000,False
6,12,12.00000000000000,False
7,-12,12.00000000000000,False
7,-11,11.00000000000000,False
7,-10,10.00000000000000,False
7,-9,9.000000000000000,False
7,-8,8.000000000000000,False
7,-7,7.887482193696061,False
7,-6,7.772001872658766,False
7,-5,7.653311931459037,False
7,-4,7.531128874149275,False
7,-3,7.405124837953327,False
7,-2,7.274917217635375,False
7,-1,7.140054944640259,False
7,0,7.000000000000000,False
7,1,6.854101966249685,False
7,2,6.701562118716424,False
7,3,6.541381265149110,False
7,4,6.372281323269014,False
7,5,6.192582403567252,False
7,6,6.000000000000000,False
7,7,7.000000000000000,False
7,8,8.000000000000000,False
7,9,9.000000000000000,False
7,10,10.00000000000000,False
7,11,11.00000000000000,False
7,12,12.00000000000000,False
8,-12,12.00000000000000,False
8,-11,11.00000000000000,False
8,-10,10.00000000000000,False
8,-9,9.000000000000000,False
8,-8,8.898979485566356,False
8,-7,8.795831523312720,False
8,-6,8.690415759823430,False
8,-5,8.582575694955840,False
8,-4,8.472135954999579,False
8,-3,8.358898943540674,False
8,-2,8.242640687119285,False
8,-1,8.123105625617661,False
8,0,8.000000000000000,False
8,1,7.872983346207417,False
8,2,7.741657386773941,False
8,3,7.605551275463989,False
8,4,7.464101615137755,False
8,5,7.316624790355400,False
8,6,7.162277660168379,False
8,7,7.000000000000000,False
8,8,8.000000000000000,False
8,9,9.000000000000000,False
8,10,10.00000000000000,False
8,11,11.00000000000000,False
8,12,12.00000000000000,False
9,-12,12.00000000000000,False
9,-11,11.00000000000000,False
9,-10,10.00000000000000,False
9,-9,9.908326913195984,False
9,-8,9.815072906367325,False
9,-7,9.720153254455275,False
9,-6,9.623475382979799,False
9,-5,9.524937810560445,False
9,-4,9.424428900898052,False
9,-3,9.321825380496477,False
9,-2,9.216990566028302,False
9,-1,9.109772228646444,False
9,0,9.000000000000000,False
9,1,8.887482193696061,False
9,2,8.772001872658766,False
9,3,8.653311931459037,False
9,4,8.531128874149275,False
9,5,8.405124837953327,False
9,6,8.274917217635375,False
9,7,8.140054944640259,False
9,8,8.000000000000000,False
9,9,9.000000000000000,False
9,10,10.00000000000000,False
9,11,11.00000000000000,False
9,12,12.00000000000000,False
10,-12,12.00000000000000,False
10,-11,11.00000000000000,False
10,-10,10.91607978309962,False
10,-9,10.83095189484530,False
10,-8,10.74456264653803,False
10,-7,10.65685424949238,False
10,-6,10.56776436283002,False
10,-5,10.47722557505166,False
10,-4,10.38516480713450,False
10,-3,10.29150262212918,False
10,-2,10.19615242270663,False
10,-1,10.09901951359278,False
10,0,10.00000000000000,False
10,1,9.898979485566356,False
10,2,9.795831523312720,False
10,3,9.690415759823430,False
10,4,9.582575694955840,False
10,5,9.472135954999579,False
10,6,9.358898943540674,False
10,7,9.242640687119285,False
10,8,9.123105625617661,False
10,9,9.000000000000000,False
10,10,10.00000000000000,False
10,11,11.00000000000000,False
10,12,12.00000000000000,False
11,-12,12.00000000000000,False
11,-11,11.92261628933256,False
11,-10,11.84428877022476,False
11,-9,11.76498204307083,False
11,-8,11.68465843842649,False
11,-7,11.60327780786685,False
11,-6,11.52079728939615,False
11,-5,11.43717104351896,False
11,-4,11.35234995535981,False
11,-3,11.26628129733540,False
11,-2,11.17890834580027,False
11,-1,11.09016994374947,False
11,0,11.00000000000000,False
11,1,10.90832691319598,False
11,2,10.81507290636732,False
11,3,10.72015325445528,False
11,4,10.62347538297980,False
11,5,10.52493781056045,False
11,6,10.42442890089805,False
11,7,10.32182538049648,False
11,8,10.21699056602830,False
11,9,10.10977222864644,False
11,10,10.00000000000000,False
11,11,11.00000000000000,False
11,12,12.00000000000000,False
12,-12,12.92820323027551,False
12,-11,12.85565460040104,False
12,-10,12.78232998312527,False
12,-9,12.70820393249937,False
12,-8,12.63324958071080,False
12,-7,12.55743852430200,False
12,-6,12.48074069840786,False
12,-5,12.40312423743285,False
12,-4,12.32455532033676,False
12,-3,12.24499799839840,False
12,-2,12.16441400296898,False
12,-1,12.08276253029822,False
12,0,12.00000000000000,False
12,1,11.91607978309962,False
12,2,11.83095189484530,False
12,3,11.74456264653803,False
12,4,11.65685424949238,False
12,5,11.56776436283002,False
12,6,11.47722557505166,False
12,7,11.38516480713450,False
12,8,11.29150262212918,False
12,9,11.19615242270663,False
12,10,11.09901951359278,False
12,11,11.00000000000000,False
12,12,12.00000000000000,False
