# source: papers/2026-07-relational-charge/relational_charge_paper.tex; generated by: code/2026-07-relational-charge/quadratic_eg.py
t,n,discriminant,root_type,mahler,mahler_ge_phi,mahler_eq_1,in_open_gap_1_phi
0,-11,44,real_pair,11.0,yes,no,no
0,-10,40,real_pair,10.0,yes,no,no
0,-8,32,real_pair,8.0,yes,no,no
0,-7,28,real_pair,7.0,yes,no,no
0,-6,24,real_pair,6.0,yes,no,no
0,-5,20,real_pair,5.0,yes,no,no
0,-3,12,real_pair,3.0,yes,no,no
0,-2,8,real_pair,2.0,yes,no,no
0,1,-4,complex_pair,1.0,no,yes,no
0,2,-8,complex_pair,2.0,yes,no,no
0,3,-12,complex_pair,3.0,yes,no,no
0,4,-16,complex_pair,4.0,yes,no,no
0,5,-20,complex_pair,5.0,yes,no,no
0,6,-24,complex_pair,6.0,yes,no,no
0,7,-28,complex_pair,7.0,yes,no,no
0,8,-32,complex_pair,8.0,yes,no,no
0,9,-36,complex_pair,9.0,yes,no,no
0,10,-40,complex_pair,10.0,yes,no,no
0,11,-44,complex_pair,11.0,yes,no,no
0,12,-48,complex_pair,12.0,yes,no,no
1,-11,45,real_pair,11.0,yes,no,no
1,-10,41,real_pair,10.0,yes,no,no
1,-9,37,real_pair,9.0,yes,no,no
1,-8,33,real_pair,8.0,yes,no,no
1,-7,29,real_pair,7.0,yes,no,no
1,-5,21,real_pair,5.0,yes,no,no
1,-4,17,real_pair,4.0,yes,no,no
1,-3,13,real_pair,3.0,yes,no,no
1,-1,5,real_pair,1.618033988749895,yes,no,no
1,1,-3,complex_pair,1.0,no,yes,no
1,2,-7,complex_pair,2.0,yes,no,no
1,3,-11,complex_pair,3.0,yes,no,no
1,4,-15,complex_pair,4.0,yes,no,no
1,5,-19,complex_pair,5.0,yes,no,no
1,6,-23,complex_pair,6.0,yes,no,no
1,7,-27,complex_pair,7.0,yes,no,no
1,8,-31,complex_pair,8.0,yes,no,no
1,9,-35,complex_pair,9.0,yes,no,no
1,10,-39,complex_pair,10.0,yes,no,no
1,11,-43,complex_pair,11.0,yes,no,no
1,12,-47,complex_pair,12.0,yes,no,no
2,-12,52,real_pair,12.0,yes,no,no
2,-11,48,real_pair,11.0,yes,no,no
2,-10,44,real_pair,10.0,yes,no,no
2,-9,40,real_pair,9.0,yes,no,no
2,-7,32,real_pair,7.0,yes,no,no
2,-6,28,real_pair,6.0,yes,no,no
2,-5,24,real_pair,5.0,yes,no,no
2,-4,20,real_pair,4.0,yes,no,no
2,-2,12,real_pair,2.732050807568877,yes,no,no
2,-1,8,real_pair,2.414213562373095,yes,no,no
2,2,-4,complex_pair,2.0,yes,no,no
2,3,-8,complex_pair,3.0,yes,no,no
2,4,-12,complex_pair,4.0,yes,no,no
2,5,-16,complex_pair,5.0,yes,no,no
2,6,-20,complex_pair,6.0,yes,no,no
2,7,-24,complex_pair,7.0,yes,no,no
2,8,-28,complex_pair,8.0,yes,no,no
2,9,-32,complex_pair,9.0,yes,no,no
2,10,-36,complex_pair,10.0,yes,no,no
2,11,-40,complex_pair,11.0,yes,no,no
2,12,-44,complex_pair,12.0,yes,no,no
3,-12,57,real_pair,12.0,yes,no,no
3,-11,53,real_pair,11.0,yes,no,no
3,-9,45,real_pair,9.0,yes,no,no
3,-8,41,real_pair,8.0,yes,no,no
3,-7,37,real_pair,7.0,yes,no,no
3,-6,33,real_pair,6.0,yes,no,no
3,-5,29,real_pair,5.0,yes,no,no
3,-3,21,real_pair,3.79128784747792,yes,no,no
3,-2,17,real_pair,3.56155281280883,yes,no,no
3,-1,13,real_pair,3.302775637731995,yes,no,no
3,1,5,real_pair,2.618033988749895,yes,no,no
3,3,-3,complex_pair,3.0,yes,no,no
3,4,-7,complex_pair,4.0,yes,no,no
3,5,-11,complex_pair,5.0,yes,no,no
3,6,-15,complex_pair,6.0,yes,no,no
3,7,-19,complex_pair,7.0,yes,no,no
3,8,-23,complex_pair,8.0,yes,no,no
3,9,-27,complex_pair,9.0,yes,no,no
3,10,-31,complex_pair,10.0,yes,no,no
3,11,-35,complex_pair,11.0,yes,no,no
3,12,-39,complex_pair,12.0,yes,no,no
4,-11,60,real_pair,11.0,yes,no,no
4,-10,56,real_pair,10.0,yes,no,no
4,-9,52,real_pair,9.0,yes,no,no
4,-8,48,real_pair,8.0,yes,no,no
4,-7,44,real_pair,7.0,yes,no,no
4,-6,40,real_pair,6.0,yes,no,no
4,-4,32,real_pair,4.82842712474619,yes,no,no
4,-3,28,real_pair,4.645751311064591,yes,no,no
4,-2,24,real_pair,4.449489742783178,yes,no,no
4,-1,20,real_pair,4.23606797749979,yes,no,no
4,1,12,real_pair,3.732050807568877,yes,no,no
4,2,8,real_pair,3.414213562373095,yes,no,no
4,5,-4,complex_pair,5.0,yes,no,no
4,6,-8,complex_pair,6.0,yes,no,no
4,7,-12,complex_pair,7.0,yes,no,no
4,8,-16,complex_pair,8.0,yes,no,no
4,9,-20,complex_pair,9.0,yes,no,no
4,10,-24,complex_pair,10.0,yes,no,no
4,11,-28,complex_pair,11.0,yes,no,no
4,12,-32,complex_pair,12.0,yes,no,no
5,-12,73,real_pair,12.0,yes,no,no
5,-11,69,real_pair,11.0,yes,no,no
5,-10,65,real_pair,10.0,yes,no,no
5,-9,61,real_pair,9.0,yes,no,no
5,-8,57,real_pair,8.0,yes,no,no
5,-7,53,real_pair,7.0,yes,no,no
5,-5,45,real_pair,5.854101966249685,yes,no,no
5,-4,41,real_pair,5.701562118716424,yes,no,no
5,-3,37,real_pair,5.54138126514911,yes,no,no
5,-2,33,real_pair,5.372281323269014,yes,no,no
5,-1,29,real_pair,5.192582403567252,yes,no,no
5,1,21,real_pair,4.79128784747792,yes,no,no
5,2,17,real_pair,4.56155281280883,yes,no,no
5,3,13,real_pair,4.302775637731995,yes,no,no
5,5,5,real_pair,5.0,yes,no,no
5,7,-3,complex_pair,7.0,yes,no,no
5,8,-7,complex_pair,8.0,yes,no,no
5,9,-11,complex_pair,9.0,yes,no,no
5,10,-15,complex_pair,10.0,yes,no,no
5,11,-19,complex_pair,11.0,yes,no,no
5,12,-23,complex_pair,12.0,yes,no,no
6,-12,84,real_pair,12.0,yes,no,no
6,-11,80,real_pair,11.0,yes,no,no
6,-10,76,real_pair,10.0,yes,no,no
6,-9,72,real_pair,9.0,yes,no,no
6,-8,68,real_pair,8.0,yes,no,no
6,-6,60,real_pair,6.872983346207417,yes,no,no
6,-5,56,real_pair,6.741657386773941,yes,no,no
6,-4,52,real_pair,6.605551275463989,yes,no,no
6,-3,48,real_pair,6.464101615137755,yes,no,no
6,-2,44,real_pair,6.3166247903554,yes,no,no
6,-1,40,real_pair,6.162277660168379,yes,no,no
6,1,32,real_pair,5.82842712474619,yes,no,no
6,2,28,real_pair,5.645751311064591,yes,no,no
6,3,24,real_pair,5.449489742783178,yes,no,no
6,4,20,real_pair,5.23606797749979,yes,no,no
6,6,12,real_pair,6.0,yes,no,no
6,7,8,real_pair,7.0,yes,no,no
6,10,-4,complex_pair,10.0,yes,no,no
6,11,-8,complex_pair,11.0,yes,no,no
6,12,-12,complex_pair,12.0,yes,no,no
7,-12,97,real_pair,12.0,yes,no,no
7,-11,93,real_pair,11.0,yes,no,no
7,-10,89,real_pair,10.0,yes,no,no
7,-9,85,real_pair,9.0,yes,no,no
7,-7,77,real_pair,7.887482193696061,yes,no,no
7,-6,73,real_pair,7.772001872658766,yes,no,no
7,-5,69,real_pair,7.653311931459037,yes,no,no
7,-4,65,real_pair,7.531128874149275,yes,no,no
7,-3,61,real_pair,7.405124837953327,yes,no,no
7,-2,57,real_pair,7.274917217635375,yes,no,no
7,-1,53,real_pair,7.140054944640259,yes,no,no
7,1,45,real_pair,6.854101966249685,yes,no,no
7,2,41,real_pair,6.701562118716424,yes,no,no
7,3,37,real_pair,6.54138126514911,yes,no,no
7,4,33,real_pair,6.372281323269014,yes,no,no
7,5,29,real_pair,6.192582403567252,yes,no,no
7,7,21,real_pair,7.0,yes,no,no
7,8,17,real_pair,8.0,yes,no,no
7,9,13,real_pair,9.0,yes,no,no
7,11,5,real_pair,11.0,yes,no,no
8,-12,112,real_pair,12.0,yes,no,no
8,-11,108,real_pair,11.0,yes,no,no
8,-10,104,real_pair,10.0,yes,no,no
8,-8,96,real_pair,8.898979485566356,yes,no,no
8,-7,92,real_pair,8.79583152331272,yes,no,no
8,-6,88,real_pair,8.69041575982343,yes,no,no
8,-5,84,real_pair,8.58257569495584,yes,no,no
8,-4,80,real_pair,8.472135954999579,yes,no,no
8,-3,76,real_pair,8.358898943540674,yes,no,no
8,-2,72,real_pair,8.242640687119285,yes,no,no
8,-1,68,real_pair,8.123105625617661,yes,no,no
8,1,60,real_pair,7.872983346207417,yes,no,no
8,2,56,real_pair,7.741657386773941,yes,no,no
8,3,52,real_pair,7.605551275463989,yes,no,no
8,4,48,real_pair,7.464101615137755,yes,no,no
8,5,44,real_pair,7.3166247903554,yes,no,no
8,6,40,real_pair,7.162277660168379,yes,no,no
8,8,32,real_pair,8.0,yes,no,no
8,9,28,real_pair,9.0,yes,no,no
8,10,24,real_pair,10.0,yes,no,no
8,11,20,real_pair,11.0,yes,no,no
9,-12,129,real_pair,12.0,yes,no,no
9,-11,125,real_pair,11.0,yes,no,no
9,-9,117,real_pair,9.908326913195984,yes,no,no
9,-8,113,real_pair,9.815072906367325,yes,no,no
9,-7,109,real_pair,9.720153254455275,yes,no,no
9,-6,105,real_pair,9.623475382979799,yes,no,no
9,-5,101,real_pair,9.524937810560445,yes,no,no
9,-4,97,real_pair,9.424428900898052,yes,no,no
9,-3,93,real_pair,9.321825380496477,yes,no,no
9,-2,89,real_pair,9.216990566028302,yes,no,no
9,-1,85,real_pair,9.109772228646444,yes,no,no
9,1,77,real_pair,8.887482193696061,yes,no,no
9,2,73,real_pair,8.772001872658766,yes,no,no
9,3,69,real_pair,8.653311931459037,yes,no,no
9,4,65,real_pair,8.531128874149275,yes,no,no
9,5,61,real_pair,8.405124837953327,yes,no,no
9,6,57,real_pair,8.274917217635375,yes,no,no
9,7,53,real_pair,8.140054944640259,yes,no,no
9,9,45,real_pair,9.0,yes,no,no
9,10,41,real_pair,10.0,yes,no,no
9,11,37,real_pair,11.0,yes,no,no
9,12,33,real_pair,12.0,yes,no,no
10,-12,148,real_pair,12.0,yes,no,no
10,-10,140,real_pair,10.91607978309962,yes,no,no
10,-9,136,real_pair,10.8309518948453,yes,no,no
10,-8,132,real_pair,10.74456264653803,yes,no,no
10,-7,128,real_pair,10.65685424949238,yes,no,no
10,-6,124,real_pair,10.56776436283002,yes,no,no
10,-5,120,real_pair,10.47722557505166,yes,no,no
10,-4,116,real_pair,10.3851648071345,yes,no,no
10,-3,112,real_pair,10.29150262212918,yes,no,no
10,-2,108,real_pair,10.19615242270663,yes,no,no
10,-1,104,real_pair,10.09901951359278,yes,no,no
10,1,96,real_pair,9.898979485566356,yes,no,no
10,2,92,real_pair,9.79583152331272,yes,no,no
10,3,88,real_pair,9.69041575982343,yes,no,no
10,4,84,real_pair,9.58257569495584,yes,no,no
10,5,80,real_pair,9.472135954999579,yes,no,no
10,6,76,real_pair,9.358898943540674,yes,no,no
10,7,72,real_pair,9.242640687119285,yes,no,no
10,8,68,real_pair,9.123105625617661,yes,no,no
10,10,60,real_pair,10.0,yes,no,no
10,11,56,real_pair,11.0,yes,no,no
10,12,52,real_pair,12.0,yes,no,no
11,-11,165,real_pair,11.92261628933256,yes,no,no
11,-10,161,real_pair,11.84428877022476,yes,no,no
11,-9,157,real_pair,11.76498204307083,yes,no,no
11,-8,153,real_pair,11.68465843842649,yes,no,no
11,-7,149,real_pair,11.60327780786685,yes,no,no
11,-6,145,real_pair,11.52079728939615,yes,no,no
11,-5,141,real_pair,11.43717104351896,yes,no,no
11,-4,137,real_pair,11.35234995535981,yes,no,no
11,-3,133,real_pair,11.2662812973354,yes,no,no
11,-2,129,real_pair,11.17890834580027,yes,no,no
11,-1,125,real_pair,11.09016994374947,yes,no,no
11,1,117,real_pair,10.90832691319598,yes,no,no
11,2,113,real_pair,10.81507290636732,yes,no,no
11,3,109,real_pair,10.72015325445528,yes,no,no
11,4,105,real_pair,10.6234753829798,yes,no,no
11,5,101,real_pair,10.52493781056045,yes,no,no
11,6,97,real_pair,10.42442890089805,yes,no,no
11,7,93,real_pair,10.32182538049648,yes,no,no
11,8,89,real_pair,10.2169905660283,yes,no,no
11,9,85,real_pair,10.10977222864644,yes,no,no
11,11,77,real_pair,11.0,yes,no,no
11,12,73,real_pair,12.0,yes,no,no
12,-12,192,real_pair,12.92820323027551,yes,no,no
12,-11,188,real_pair,12.85565460040104,yes,no,no
12,-10,184,real_pair,12.78232998312527,yes,no,no
12,-9,180,real_pair,12.70820393249937,yes,no,no
12,-8,176,real_pair,12.6332495807108,yes,no,no
12,-7,172,real_pair,12.557438524302,yes,no,no
12,-6,168,real_pair,12.48074069840786,yes,no,no
12,-5,164,real_pair,12.40312423743285,yes,no,no
12,-4,160,real_pair,12.32455532033676,yes,no,no
12,-3,156,real_pair,12.2449979983984,yes,no,no
12,-2,152,real_pair,12.16441400296898,yes,no,no
12,-1,148,real_pair,12.08276253029822,yes,no,no
12,1,140,real_pair,11.91607978309962,yes,no,no
12,2,136,real_pair,11.8309518948453,yes,no,no
12,3,132,real_pair,11.74456264653803,yes,no,no
12,4,128,real_pair,11.65685424949238,yes,no,no
12,5,124,real_pair,11.56776436283002,yes,no,no
12,6,120,real_pair,11.47722557505166,yes,no,no
12,7,116,real_pair,11.3851648071345,yes,no,no
12,8,112,real_pair,11.29150262212918,yes,no,no
12,9,108,real_pair,11.19615242270663,yes,no,no
12,10,104,real_pair,11.09901951359278,yes,no,no
12,12,96,real_pair,12.0,yes,no,no
